#{"t_start": 1744093429.7673395, "env_id": "None"}
r,l,t
-260.0,2,0.013605
-260.0,2,0.013605
-260.0,2,0.01524
-260.0,2,0.015986
-260.0,2,0.017431
-260.0,2,1.961908
-280.0,3,1.965246
-260.0,2,1.968727
-260.0,2,1.970054
-260.0,2,1.976762
-260.0,2,1.977774
-260.0,2,1.979776
-260.0,2,1.982078
-260.0,2,1.98882
-260.0,2,1.989853
-260.0,2,4.700816
-260.0,2,4.702814
-260.0,2,4.709424
-260.0,2,4.710594
-260.0,2,4.711969
-260.0,2,4.713141
-260.0,2,4.719581
-260.0,2,4.721589
-260.0,2,4.723094
-280.0,3,4.724015
-260.0,2,5.623723
-260.0,2,5.625782
-280.0,3,5.626812
-280.0,3,5.628105
-260.0,2,5.668318
-260.0,2,5.678007
-260.0,2,5.688074
-260.0,2,5.689092
-260.0,2,5.693715
-260.0,2,5.696146
-260.0,2,6.479627
-260.0,2,6.479627
-260.0,2,6.483623
-260.0,2,6.484622
-260.0,2,6.484622
-260.0,2,6.487069
-260.0,2,6.49125
-260.0,2,6.492292
-260.0,2,6.493266
-260.0,2,6.493266
-260.0,2,7.314194
-260.0,2,7.316196
-260.0,2,7.317194
-260.0,2,7.318337
-280.0,3,7.323779
-280.0,3,7.324953
-280.0,3,7.32892
-260.0,2,7.330414
-260.0,2,7.519081
-260.0,2,7.520471
-260.0,2,8.296053
-260.0,2,8.297051
-260.0,2,8.307625
-260.0,2,8.307625
-260.0,2,8.313269
-260.0,2,8.314681
-260.0,2,8.330279
-260.0,2,8.331282
-260.0,2,8.339091
-260.0,2,8.340081
-260.0,2,9.248026
-260.0,2,9.250037
-260.0,2,9.254219
-260.0,2,9.256233
-260.0,2,9.267337
-260.0,2,9.268368
-260.0,2,9.273018
-260.0,2,9.274535
-260.0,2,9.285685
-260.0,2,9.287685
-260.0,2,10.110087
-260.0,2,10.111091
-260.0,2,10.121515
-260.0,2,10.122509
-260.0,2,10.127809
-260.0,2,10.128808
-260.0,2,10.140113
-260.0,2,10.141113
-260.0,2,10.15324
-260.0,2,10.154306
-260.0,2,11.182332
-260.0,2,11.183533
-260.0,2,11.188625
-260.0,2,11.189718
-260.0,2,11.199579
-260.0,2,11.200585
-280.0,3,11.204896
-260.0,2,11.206115
-260.0,2,11.214261
-260.0,2,11.215422
-260.0,2,11.994869
-260.0,2,11.995872
-260.0,2,12.006603
