#{"t_start": 1744094776.5730958, "env_id": "None"}
r,l,t
-260.0,2,0.003317
-260.0,2,0.003897
-260.0,2,0.00506
-260.0,2,0.006142
-260.0,2,0.006142
-260.0,2,0.928078
-260.0,2,0.928718
-260.0,2,0.929468
-260.0,2,0.93012
-260.0,2,0.936173
-260.0,2,0.938617
-260.0,2,0.938617
-280.0,3,0.94088
-260.0,2,0.945666
-260.0,2,0.946804
-260.0,2,1.663381
-260.0,2,1.664868
-260.0,2,1.670838
-260.0,2,1.671847
-260.0,2,1.675431
-260.0,2,1.677429
-260.0,2,1.68178
-260.0,2,1.683878
-280.0,3,1.684996
-260.0,2,1.686006
-260.0,2,2.365728
-260.0,2,2.365728
-260.0,2,2.366818
-260.0,2,2.366818
-260.0,2,2.370874
